date;dia;mês;ano;var
2020-03-17;17;3;2020;1
2020-03-18;18;3;2020;2
2020-03-19;19;3;2020;3
2020-03-20;20;3;2020;5
2020-03-21;21;3;2020;4
2020-03-22;22;3;2020;10
2020-03-23;23;3;2020;9
2020-03-24;24;3;2020;12
2020-03-25;25;3;2020;13
2020-03-26;26;3;2020;18
2020-03-27;27;3;2020;15
2020-03-28;28;3;2020;19
2020-03-29;29;3;2020;25
2020-03-30;30;3;2020;23
2020-03-31;31;3;2020;42
2020-04-01;1;4;2020;39
2020-04-02;2;4;2020;84
2020-04-03;3;4;2020;35
2020-04-04;4;4;2020;86
2020-04-05;5;4;2020;41
2020-04-06;6;4;2020;78
2020-04-07;7;4;2020;122
2020-04-08;8;4;2020;133
2020-04-09;9;4;2020;131
2020-04-10;10;4;2020;107
2020-04-11;11;4;2020;67
2020-04-12;12;4;2020;99
2020-04-13;13;4;2020;105
2020-04-14;14;4;2020;204
2020-04-15;15;4;2020;204
2020-04-16;16;4;2020;188
2020-04-17;17;4;2020;217
2020-04-18;18;4;2020;213
2020-04-19;19;4;2020;108
2020-04-20;20;4;2020;125
2020-04-21;21;4;2020;154
2020-04-22;22;4;2020;165
2020-04-23;23;4;2020;425
2020-04-24;24;4;2020;373
2020-04-25;25;4;2020;353
2020-04-26;26;4;2020;229
2020-04-27;27;4;2020;317
2020-04-28;28;4;2020;480
2020-04-29;29;4;2020;430
2020-04-30;30;4;2020;493
2020-05-01;1;5;2020;406
2020-05-02;2;5;2020;349
2020-05-03;3;5;2020;290
2020-05-04;4;5;2020;316
2020-05-05;5;5;2020;571
2020-05-06;6;5;2020;650
2020-05-07;7;5;2020;602
2020-05-08;8;5;2020;827
2020-05-09;9;5;2020;639
2020-05-10;10;5;2020;467
2020-05-11;11;5;2020;530
2020-05-12;12;5;2020;808
2020-05-13;13;5;2020;779
2020-05-14;14;5;2020;759
2020-05-15;15;5;2020;963
2020-05-16;16;5;2020;700
2020-05-17;17;5;2020;456
2020-05-18;18;5;2020;735
2020-05-19;19;5;2020;1130
2020-05-20;20;5;2020;876
2020-05-21;21;5;2020;1188
2020-05-22;22;5;2020;1001
2020-05-23;23;5;2020;965
2020-05-24;24;5;2020;653
2020-05-25;25;5;2020;807
2020-05-26;26;5;2020;1039
2020-05-27;27;5;2020;1086
2020-05-28;28;5;2020;1156
2020-05-29;29;5;2020;1124
2020-05-30;30;5;2020;956
2020-05-31;31;5;2020;480
2020-06-01;1;6;2020;623
2020-06-02;2;6;2020;1262
