
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";6;6;2;1;1;1;33;37;20;29;20;19;27;41;52;76;51;62;58;84;2;628
"330015 Aperibé";1;-;-;-;-;-;-;2;-;-;1;2;1;4;5;4;2;7;7;10;-;46
"330020 Araruama";5;-;4;1;1;1;16;23;18;19;23;15;27;26;41;64;69;63;65;123;-;604
"330022 Areal";-;-;-;-;-;1;1;1;1;2;2;4;5;1;4;6;6;3;6;7;-;50
"330023 Armação dos Búzios";1;1;-;-;1;-;3;3;5;7;4;8;6;12;11;12;14;8;10;22;-;128
"330025 Arraial do Cabo";1;-;2;-;-;-;-;2;2;2;3;5;9;8;12;9;15;15;7;22;-;114
"330030 Barra do Piraí";2;2;-;1;-;1;3;14;6;9;14;13;20;29;50;45;52;51;46;93;4;455
"330040 Barra Mansa";4;4;2;2;3;5;7;14;15;10;17;20;26;56;71;74;98;87;70;159;-;744
"330045 Belford Roxo";29;15;20;13;2;8;73;78;52;50;60;77;100;111;187;191;189;172;173;254;17;1871
"330050 Bom Jardim";1;1;-;-;-;-;1;4;1;1;3;3;6;8;10;8;17;7;13;35;-;119
"330060 Bom Jesus do Itabapoana";3;-;-;-;-;-;1;3;1;5;3;10;8;8;12;7;18;14;33;49;1;176
"330070 Cabo Frio";5;1;9;10;7;2;33;39;34;29;23;33;36;60;59;78;77;93;76;135;-;839
"330080 Cachoeiras de Macacu";4;-;2;1;1;-;6;3;4;6;9;4;6;7;16;30;24;14;23;47;1;208
"330090 Cambuci";-;-;1;-;-;-;1;1;-;1;-;-;6;5;4;6;8;2;13;22;-;70
"330100 Campos dos Goytacazes";44;13;17;8;3;7;51;60;56;55;61;80;110;141;172;194;230;202;225;420;1;2150
"330110 Cantagalo";3;-;2;-;-;-;2;3;-;3;3;4;10;5;5;3;7;9;9;22;-;90
"330093 Carapebus";1;-;-;-;1;-;1;-;3;1;-;-;3;2;6;6;4;13;9;15;-;65
"330115 Cardoso Moreira";1;-;-;-;-;-;1;-;1;1;3;-;3;2;3;4;4;5;7;12;-;47
"330120 Carmo";2;-;-;-;-;-;-;2;1;4;3;4;3;4;4;6;9;6;8;23;-;79
"330130 Casimiro de Abreu";2;-;2;-;-;-;4;4;6;4;7;4;10;6;17;14;14;15;24;37;-;170
"330095 Comendador Levy Gasparian";-;-;-;-;-;-;-;-;-;-;2;-;1;4;1;3;5;4;5;7;-;32
"330140 Conceição de Macabu";1;-;-;-;-;1;2;3;4;3;4;2;4;5;4;5;6;10;13;17;-;84
"330150 Cordeiro";-;1;1;-;-;-;1;1;1;1;2;2;5;5;7;9;6;5;8;19;-;74
"330160 Duas Barras";-;-;-;-;-;1;-;1;4;1;1;-;1;5;-;6;1;4;1;9;-;35
"330170 Duque de Caxias";53;17;39;7;6;16;88;113;95;83;111;121;163;255;332;338;365;321;343;536;1;3403
"330180 Engenheiro Paulo de Frontin";-;-;-;-;-;-;1;-;-;-;1;-;2;7;6;10;14;4;7;12;-;64
"330185 Guapimirim";1;-;-;2;-;-;6;8;5;6;12;8;12;11;22;25;30;21;17;40;-;226
