
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";4;1;5;-;2;3;2;7;3;6;11;11;12;21;20;23;37;38;22;34;116;-;378
"330015 Aperibé";-;1;2;-;-;-;-;-;-;-;1;1;-;1;2;-;5;3;1;7;14;-;38
"330020 Araruama";8;1;1;-;1;-;2;2;4;3;2;5;11;18;24;30;31;42;63;65;154;2;469
"330022 Areal";1;-;1;-;3;-;-;-;1;1;-;1;-;2;1;3;3;4;4;3;7;-;35
"330023 Armação dos Búzios";4;-;2;-;1;-;-;1;1;2;1;-;6;2;5;11;9;6;6;13;41;-;111
"330025 Arraial do Cabo";4;-;-;-;3;-;-;2;1;3;1;-;1;9;5;6;10;9;14;13;37;-;118
"330030 Barra do Piraí";3;2;4;-;2;1;-;2;2;2;2;4;6;12;16;28;44;43;29;43;127;-;372
"330040 Barra Mansa";2;1;3;-;2;1;4;7;9;5;13;7;20;20;35;48;61;65;63;82;241;-;689
"330045 Belford Roxo";22;12;20;-;7;1;4;12;11;22;26;29;57;76;98;136;142;173;202;197;424;9;1680
"330050 Bom Jardim";2;-;-;-;-;-;-;-;-;1;3;3;2;5;3;4;3;7;9;10;29;-;81
"330060 Bom Jesus do Itabapoana";2;1;-;-;1;-;2;-;-;1;3;2;4;5;6;8;12;15;14;23;63;-;162
"330070 Cabo Frio";9;1;3;1;1;2;2;7;8;9;5;19;17;30;27;38;48;59;53;64;188;-;591
"330080 Cachoeiras de Macacu";-;-;-;-;1;1;-;-;-;2;2;1;8;5;7;12;20;18;26;18;57;-;178
"330090 Cambuci";-;-;1;-;-;1;1;-;-;-;1;-;2;3;2;2;8;7;3;9;23;-;63
"330100 Campos dos Goytacazes";38;13;19;-;15;4;12;10;19;10;22;28;51;61;101;127;131;161;171;212;605;-;1810
"330110 Cantagalo";1;-;1;-;1;-;-;-;1;-;2;3;3;3;1;2;7;12;5;7;36;-;85
"330093 Carapebus";-;-;1;-;-;-;-;-;-;1;1;-;3;1;2;1;1;1;6;6;8;-;32
"330115 Cardoso Moreira";-;-;1;-;-;-;-;-;-;-;2;1;1;-;2;2;7;3;5;5;18;-;47
"330120 Carmo";-;1;1;-;-;-;-;-;-;1;2;1;2;1;7;2;6;8;4;7;23;-;66
"330130 Casimiro de Abreu";3;-;2;-;-;1;-;2;2;1;1;2;7;5;6;4;12;5;8;13;44;-;118
"330095 Comendador Levy Gasparian";-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;1;3;6;-;7;9;-;31
"330140 Conceição de Macabu";1;-;-;-;-;-;2;-;-;1;-;-;-;1;5;2;7;8;11;13;23;-;74
"330150 Cordeiro";1;-;1;-;-;-;-;1;1;-;1;1;3;2;4;4;6;6;9;8;38;-;86
"330160 Duas Barras";-;-;1;-;-;-;-;-;1;3;1;1;1;1;2;1;3;4;5;2;13;-;39
"330170 Duque de Caxias";36;13;46;-;15;3;11;19;28;27;42;48;97;117;185;252;282;294;344;348;876;-;3083
"330180 Engenheiro Paulo de Frontin";3;-;-;-;-;1;-;-;-;1;-;2;1;2;1;2;3;5;4;6;24;-;55
"330185 Guapimirim";4;-;2;-;-;-;1;-;-;4;-;5;3;7;10;11;18;18;20;18;49;-;170
"330187 Iguaba Grande";1;1;4;-;1;-;-;1;2;1;-;1;2;-;8;6;3;11;7;10;44;-;103
"330190 Itaboraí";11;1;5;-;1;2;3;7;5;5;8;15;33;25;44;62;72;74;71;80;211;3;738
"330200 Itaguaí";9;1;9;-;3;-;1;5;1;8;4;15;14;19;34;34;44;47;40;50;121;-;459
"330205 Italva";1;-;-;-;-;-;-;-;-;-;-;1;2;2;3;1;-;6;6;5;26;-;53
"330210 Itaocara";1;-;2;-;-;-;-;-;-;-;2;-;-;3;2;7;5;12;16;12;53;-;115
"330220 Itaperuna";4;1;4;-;-;2;-;-;-;4;3;4;9;4;18;18;37;27;39;34;137;-;345
"330225 Itatiaia";1;-;1;-;-;-;1;1;2;1;2;3;2;1;3;3;2;12;5;9;22;-;71
"330227 Japeri";2;2;4;-;2;-;1;-;1;2;5;5;14;7;13;19;20;26;28;32;76;-;259
"330230 Laje do Muriaé";2;-;-;-;-;-;1;2;-;-;1;1;1;-;1;1;1;1;3;1;12;-;28
"330240 Macaé";9;2;6;-;5;-;3;5;4;2;10;9;17;23;34;29;44;55;49;58;170;-;534
"330245 Macuco";1;-;1;-;-;-;-;1;-;1;-;-;1;-;1;2;3;2;2;3;10;-;28
"330250 Magé";13;6;7;-;5;-;1;6;7;5;20;16;33;36;57;84;95;103;89;97;270;1;951
"330260 Mangaratiba";1;1;-;-;-;-;-;-;1;3;-;4;5;6;8;10;14;20;11;11;37;-;132
"330270 Maricá";5;1;1;-;2;1;2;3;1;1;5;5;17;16;27;31;35;40;48;55;181;-;477
"330280 Mendes";-;-;2;-;1;-;1;-;-;1;1;1;-;3;2;4;15;3;7;10;26;-;77
"330285 Mesquita";5;4;8;-;1;-;3;2;3;6;7;11;21;30;28;47;55;67;78;109;234;-;719
"330290 Miguel Pereira";2;-;2;-;-;-;-;-;1;-;2;1;2;6;6;5;9;10;15;12;55;-;128
"330300 Miracema";-;-;-;-;1;-;-;-;-;1;1;4;2;6;9;3;7;13;9;15;39;-;110
"330310 Natividade";-;-;1;-;-;-;-;-;-;-;-;2;1;4;5;4;6;10;4;5;33;-;75
"330320 Nilópolis";8;3;7;-;3;-;2;1;6;2;11;17;17;25;38;42;68;96;92;116;296;3;853
"330330 Niterói";10;8;14;-;6;1;3;5;13;12;14;20;34;50;67;115;162;173;199;253;1167;-;2326
"330340 Nova Friburgo";12;1;4;-;-;-;1;5;4;6;6;12;9;22;24;40;52;52;91;82;314;-;737
"330350 Nova Iguaçu";30;19;24;-;11;7;8;16;27;31;39;55;87;115;156;206;271;324;328;338;951;2;3045
"330360 Paracambi";3;2;2;-;1;1;-;-;-;4;3;3;6;3;9;14;13;25;26;20;69;-;204
"330370 Paraíba do Sul";2;-;3;-;1;-;-;2;-;1;1;5;2;6;12;13;13;11;18;21;71;-;182
"330380 Paraty";-;-;-;-;4;1;-;-;1;1;3;3;3;4;5;5;8;7;5;17;22;-;89
"330385 Paty do Alferes";-;-;2;-;-;-;-;2;2;1;1;-;4;3;6;9;5;10;9;11;42;-;107
"330390 Petrópolis";4;3;7;-;3;2;4;5;4;11;12;15;27;53;53;75;122;129;141;163;595;1;1429
"330395 Pinheiral";-;-;-;-;-;1;-;-;-;-;-;1;1;2;6;6;9;8;5;4;24;-;67
"330400 Piraí";2;-;1;-;-;-;1;-;-;1;-;-;2;6;4;3;8;11;6;10;28;-;83
"330410 Porciúncula";1;-;-;-;-;1;-;-;-;-;-;1;-;1;3;2;6;2;4;6;24;-;51
"330411 Porto Real";-;-;-;-;1;1;-;-;-;-;-;-;2;4;10;7;7;8;8;2;6;-;56
"330412 Quatis";-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;2;3;5;4;6;11;-;34
"330414 Queimados";9;4;6;-;5;1;2;8;4;7;8;12;18;27;29;50;40;64;52;62;170;-;578
"330415 Quissamã";-;-;-;-;-;-;-;1;-;-;2;3;1;2;2;2;5;6;9;9;29;-;71
"330420 Resende";6;1;1;-;1;-;1;1;4;6;7;12;10;17;20;18;36;34;39;48;140;-;402
"330430 Rio Bonito";1;1;1;-;-;1;-;-;1;2;2;2;6;8;10;16;11;25;14;19;79;-;199
