
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";3;4;2;1;1;1;2;5;6;10;15;14;8;26;41;41;31;44;37;128;-;420
"330015 Aperibé";1;1;-;-;-;-;-;-;-;-;-;1;1;1;3;6;5;6;2;12;-;39
"330020 Araruama";2;1;5;1;1;1;2;5;4;6;7;12;17;21;32;40;49;65;43;187;1;502
"330022 Areal";2;-;-;-;-;-;-;-;1;-;-;1;1;-;6;3;7;3;5;19;-;48
"330023 Armação dos Búzios";4;-;1;-;-;-;1;-;2;3;4;5;4;4;8;11;5;10;5;23;-;90
"330025 Arraial do Cabo";3;-;1;1;1;-;2;3;-;-;2;3;1;6;18;9;7;17;10;36;-;120
"330030 Barra do Piraí";2;2;3;2;-;-;2;2;4;4;1;10;10;14;26;33;40;47;42;128;-;372
"330040 Barra Mansa";7;4;2;3;-;-;2;3;3;10;11;12;25;39;43;55;73;85;104;249;-;730
"330045 Belford Roxo";19;12;15;5;-;8;8;16;15;27;31;36;61;94;110;177;164;164;208;469;-;1639
"330050 Bom Jardim";1;-;-;-;-;-;-;1;1;-;1;1;6;4;8;3;6;9;16;38;-;95
"330060 Bom Jesus do Itabapoana";1;1;1;-;-;1;-;3;2;4;2;2;5;5;7;8;15;14;18;64;-;153
"330070 Cabo Frio";12;3;5;3;-;3;3;9;5;9;16;14;24;39;44;51;59;54;73;217;-;643
"330080 Cachoeiras de Macacu";3;-;1;1;-;-;2;2;2;3;2;1;11;3;11;15;18;25;25;67;-;192
"330090 Cambuci";-;-;1;-;-;-;-;-;-;1;-;-;4;1;2;3;6;8;15;33;-;74
"330100 Campos dos Goytacazes";31;11;12;11;5;2;14;10;19;16;32;33;58;98;129;131;178;181;191;630;-;1792
"330110 Cantagalo";-;-;-;-;-;1;-;5;-;-;-;1;1;4;2;9;5;5;7;31;-;71
"330093 Carapebus";1;-;-;-;-;-;-;-;2;1;1;1;-;2;3;4;2;1;3;11;-;32
"330115 Cardoso Moreira";-;-;-;-;-;-;-;-;-;1;-;2;-;3;-;2;3;2;7;13;-;33
"330120 Carmo";1;-;-;-;-;-;-;1;-;-;1;1;2;2;3;5;5;4;9;22;-;56
"330130 Casimiro de Abreu";1;2;2;1;-;-;-;-;3;3;3;2;5;6;10;14;10;11;17;44;-;134
"330095 Comendador Levy Gasparian";1;-;-;-;1;-;-;1;-;-;1;1;2;1;2;3;1;2;3;9;-;28
"330140 Conceição de Macabu";-;-;-;1;-;-;2;1;1;-;2;2;2;3;5;6;8;6;9;23;-;71
"330150 Cordeiro";-;-;1;-;-;-;-;1;-;-;-;1;2;3;5;6;10;6;4;36;-;75
"330160 Duas Barras";-;-;-;-;-;-;-;-;-;-;2;2;2;2;2;1;5;3;2;16;-;37
"330170 Duque de Caxias";37;13;36;16;2;5;16;27;46;47;73;78;114;203;222;238;303;292;364;848;1;2981
"330180 Engenheiro Paulo de Frontin";1;-;-;-;1;-;-;-;-;-;2;2;2;4;3;8;1;4;9;25;-;62
"330185 Guapimirim";-;1;1;2;-;-;-;1;1;2;3;4;6;12;9;12;17;18;21;53;-;163
"330187 Iguaba Grande";1;2;1;-;-;-;-;-;-;2;2;3;-;1;5;2;12;14;15;47;-;107
"330190 Itaboraí";7;1;3;4;2;2;5;4;6;7;19;19;38;34;63;77;75;84;77;242;4;773
"330200 Itaguaí";9;4;3;-;-;1;5;5;7;7;21;14;24;22;38;43;44;53;50;135;-;485
"330205 Italva";1;-;-;-;-;-;-;-;-;1;1;2;4;2;1;3;5;7;8;28;-;63
"330210 Itaocara";1;-;-;-;-;-;-;-;-;1;1;1;2;3;3;9;7;12;13;57;-;110
"330220 Itaperuna";6;1;-;1;2;-;2;3;-;3;7;6;9;15;27;24;25;34;55;148;1;369
"330225 Itatiaia";2;-;1;-;-;-;1;1;1;3;1;3;4;3;4;7;6;11;12;42;-;102
"330227 Japeri";6;1;3;2;2;1;3;2;3;7;4;8;12;14;26;26;24;29;29;84;-;286
"330230 Laje do Muriaé";1;-;-;-;-;-;-;-;1;-;-;1;1;2;-;2;-;3;-;9;-;20
"330240 Macaé";11;6;4;6;1;-;3;7;6;10;11;10;24;37;33;47;46;51;40;185;-;538
"330245 Macuco";-;-;-;-;-;-;-;-;-;1;1;-;1;2;2;-;2;2;4;10;-;25
"330250 Magé";11;1;5;5;1;-;5;11;8;9;10;32;33;51;58;107;73;85;120;239;-;864
"330260 Mangaratiba";-;-;2;-;-;-;2;3;3;6;-;3;5;7;5;10;14;19;14;37;1;131
"330270 Maricá";2;4;4;1;-;2;2;1;1;7;4;10;16;24;27;36;46;50;55;202;1;495
"330280 Mendes";1;-;-;-;-;-;2;-;1;1;-;2;2;7;6;5;6;1;10;24;-;68
"330285 Mesquita";9;2;5;2;-;1;2;7;4;6;6;11;19;40;50;76;82;81;64;217;-;684
"330290 Miguel Pereira";-;-;-;-;-;-;-;2;-;-;2;-;5;5;6;10;11;13;11;42;-;107
"330300 Miracema";1;-;-;-;-;-;-;-;2;5;1;2;3;8;7;7;5;12;15;41;-;109
"330310 Natividade";1;1;-;-;-;-;-;-;1;-;4;1;2;1;5;5;-;7;6;18;-;52
"330320 Nilópolis";6;3;5;1;3;-;5;4;5;9;12;15;13;34;58;50;84;78;88;259;-;732
"330330 Niterói";17;3;9;9;-;-;8;3;10;17;19;27;48;85;113;143;196;203;279;1185;-;2374
"330340 Nova Friburgo";7;2;3;1;3;2;2;3;1;4;11;15;22;32;32;65;63;61;81;345;-;755
"330350 Nova Iguaçu";32;19;32;8;6;6;15;26;26;42;61;58;119;155;204;279;333;285;355;885;-;2946
"330360 Paracambi";3;1;1;-;-;-;1;2;1;1;3;1;7;8;8;18;16;26;26;65;2;190
"330370 Paraíba do Sul";2;2;1;2;-;-;-;-;2;1;2;3;3;8;11;12;16;18;28;80;-;191
