"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";5;2;3;-;4;1;2;4;7;8;3;9;10;22;20;26;40;48;44;46;116;-;420
"330015 Aperibé";2;-;1;-;-;-;-;-;-;1;-;-;-;-;1;3;3;3;4;2;14;-;34
"330020 Araruama";4;3;-;-;-;-;1;1;3;3;3;9;11;18;19;28;29;41;38;54;151;-;416
"330022 Areal";-;-;-;-;-;-;-;-;-;-;-;-;1;4;1;4;1;6;3;6;18;-;44
"330023 Armação dos Búzios";2;-;-;-;-;-;-;-;2;-;3;1;1;2;2;6;5;7;17;7;39;-;94
"330025 Arraial do Cabo";1;1;2;-;-;-;-;-;-;1;-;1;-;2;5;9;8;10;15;10;42;-;107
"330030 Barra do Piraí";5;2;1;-;2;-;-;2;2;1;4;8;5;25;18;28;24;43;45;49;157;-;421
"330040 Barra Mansa";7;-;3;-;2;1;1;2;6;3;4;10;8;26;28;41;65;80;72;68;244;-;671
"330045 Belford Roxo";12;7;14;1;4;3;4;7;24;14;27;41;44;68;82;144;156;206;185;163;447;1;1654
"330050 Bom Jardim";2;-;-;-;1;-;1;1;-;2;-;1;-;1;4;3;13;9;14;10;42;-;104
"330060 Bom Jesus do Itabapoana";1;1;-;-;-;1;-;2;1;2;2;2;1;4;2;9;13;18;16;15;58;-;148
"330070 Cabo Frio";8;1;7;-;3;1;1;4;5;2;8;11;21;21;34;46;65;53;45;61;208;-;605
"330080 Cachoeiras de Macacu";3;-;-;-;2;-;1;-;2;2;1;4;7;12;10;11;9;16;19;19;67;-;185
"330090 Cambuci";1;-;2;-;-;-;1;-;-;-;-;1;1;-;2;1;2;2;5;4;29;-;51
"330100 Campos dos Goytacazes";23;13;17;-;7;4;-;14;11;17;24;35;51;67;85;114;136;194;191;219;644;-;1866
"330110 Cantagalo";1;1;1;-;1;-;-;1;-;-;-;1;3;2;3;7;8;3;8;9;17;-;66
"330093 Carapebus";1;-;-;-;-;-;-;-;-;-;-;-;4;1;1;3;3;3;2;5;13;-;36
"330115 Cardoso Moreira";-;-;-;-;-;-;-;1;-;-;1;-;2;1;2;1;6;8;2;3;19;-;46
"330120 Carmo";2;-;1;-;-;-;-;1;-;1;-;2;2;1;4;5;7;5;4;7;25;-;67
"330130 Casimiro de Abreu";2;-;1;-;-;-;1;-;3;-;2;-;3;3;6;8;13;8;10;10;35;-;105
"330095 Comendador Levy Gasparian";2;1;-;-;-;-;-;-;-;-;-;1;-;1;1;-;5;4;3;4;11;-;33
"330140 Conceição de Macabu";-;-;-;-;-;-;-;-;-;-;1;2;2;3;6;2;3;6;6;10;30;-;71
"330150 Cordeiro";1;-;-;-;-;-;-;-;-;-;2;1;2;2;-;7;10;8;8;9;23;-;73
"330160 Duas Barras";-;-;-;-;-;1;-;-;-;1;1;1;-;2;2;3;1;5;4;9;15;-;45
"330170 Duque de Caxias";47;12;32;-;19;9;7;28;28;30;47;63;88;121;152;218;289;355;326;335;928;-;3134
"330180 Engenheiro Paulo de Frontin";-;-;1;-;1;-;-;2;-;-;-;2;2;-;3;8;2;7;1;4;17;-;50
"330185 Guapimirim";1;-;5;-;1;1;-;4;2;-;4;5;4;5;17;17;12;18;15;20;50;1;182
"330187 Iguaba Grande";1;-;2;-;-;-;2;-;1;1;2;1;1;1;3;5;7;11;12;12;44;-;106
"330190 Itaboraí";10;2;7;-;3;-;1;8;4;6;12;15;29;42;42;61;74;93;75;103;247;2;836
"330200 Itaguaí";6;5;6;-;2;2;1;1;6;9;8;9;18;18;16;38;49;45;44;53;131;-;467
"330205 Italva";-;-;-;-;-;-;2;-;-;-;-;-;-;2;-;2;9;7;8;5;23;-;58
"330210 Itaocara";2;-;-;-;-;-;-;-;-;1;2;-;2;5;3;6;9;7;7;10;49;-;103
"330220 Itaperuna";1;2;4;-;1;1;-;-;2;4;3;6;10;15;14;28;27;34;45;47;129;-;373
"330225 Itatiaia";3;-;-;-;-;-;-;-;1;2;2;1;4;5;1;7;9;7;8;11;22;-;83
"330227 Japeri";6;1;3;-;-;4;1;-;4;3;4;7;10;13;23;22;38;26;27;34;89;-;315
"330230 Laje do Muriaé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7;-;5;4;13;-;31
"330240 Macaé";13;4;4;-;3;3;2;6;2;9;11;16;19;22;34;41;56;61;53;44;187;-;590
"330245 Macuco";1;1;-;-;-;-;-;-;-;1;-;1;1;3;2;-;1;2;5;2;11;-;31
"330250 Magé";12;2;10;-;5;4;2;3;10;14;11;18;32;23;54;71;92;96;106;105;304;-;974
"330260 Mangaratiba";1;1;2;-;1;1;1;-;2;1;2;1;4;2;6;12;8;18;10;18;58;-;149
"330270 Maricá";4;-;3;-;3;-;1;5;5;4;4;6;9;15;21;28;41;53;57;64;227;-;550
"330280 Mendes";-;-;-;-;-;-;-;-;-;-;2;1;1;3;4;5;10;6;10;8;34;-;84
"330285 Mesquita";5;2;5;-;1;1;-;1;7;3;8;14;18;23;35;47;55;66;64;87;218;-;660
"330290 Miguel Pereira";2;-;1;-;-;-;-;1;-;-;1;3;2;2;4;5;2;10;12;14;56;-;115
"330300 Miracema";2;1;1;-;-;-;-;-;-;4;1;1;2;2;2;9;9;9;12;10;46;-;111
"330310 Natividade";-;-;-;-;-;1;-;-;-;1;-;1;3;3;2;1;7;6;5;8;21;-;59
"330320 Nilópolis";5;1;6;-;4;4;3;2;5;4;6;12;14;23;43;54;58;62;79;84;238;2;709
"330330 Niterói";17;4;13;-;3;1;2;4;8;9;22;24;33;47;93;118;157;181;207;268;1235;-;2446
"330340 Nova Friburgo";4;-;2;-;4;1;3;2;1;4;6;12;13;23;33;38;53;67;72;91;352;-;781
"330350 Nova Iguaçu";42;11;24;-;12;4;7;20;22;32;51;67;74;116;173;222;294;319;344;334;903;-;3071
"330360 Paracambi";-;-;-;-;1;1;-;1;-;-;3;2;4;14;6;11;19;21;23;25;62;-;193
"330370 Paraíba do Sul";3;1;3;-;1;1;-;-;-;1;-;2;5;6;6;9;7;11;18;15;58;-;147
"330380 Paraty";1;-;2;-;2;-;-;-;1;1;5;-;1;9;2;9;8;9;9;14;36;-;109
"330385 Paty do Alferes";1;-;-;-;-;1;-;1;1;-;3;1;1;3;2;6;8;7;14;17;48;1;115
"330390 Petrópolis";12;2;9;-;3;1;3;4;3;8;14;13;28;38;51;61;117;125;173;177;616;-;1458
"330395 Pinheiral";-;-;-;-;-;-;-;-;-;-;1;1;2;2;2;7;9;10;14;12;24;-;84
"330400 Piraí";-;1;1;-;-;-;-;-;-;1;-;1;7;5;6;5;8;11;8;13;37;-;104
"330410 Porciúncula";1;1;1;-;-;-;-;-;-;-;2;-;4;2;2;3;6;3;5;5;26;-;61
"330411 Porto Real";1;-;2;-;-;-;1;-;1;2;-;1;1;2;3;5;2;4;7;7;16;-;55
"330412 Quatis";-;-;-;-;-;-;-;-;-;1;1;1;-;4;3;-;1;8;3;10;19;-;51
"330414 Queimados";15;3;11;-;4;-;1;3;9;7;8;14;28;24;31;47;56;48;40;45;151;-;545
"330415 Quissamã";1;-;-;-;-;1;-;-;2;-;-;1;3;4;3;5;5;8;10;5;22;-;70
"330420 Resende";11;4;4;-;1;-;-;-;1;5;4;11;7;14;15;42;30;31;51;44;142;-;417
"330430 Rio Bonito";2;1;1;-;2;-;1;-;3;1;2;2;6;7;11;12;23;18;17;19;65;-;193
"330440 Rio Claro";-;-;-;-;-;-;-;2;1;2;-;3;-;-;4;2;2;10;4;5;23;-;58
"330450 Rio das Flores";-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;3;4;2;2;6;10;-;31
"330452 Rio das Ostras";6;-;4;-;4;1;1;1;3;3;2;4;8;12;14;21;40;58;43;33;129;-;387
"330455 Rio de Janeiro";174;89;142;-;74;22;42;110;162;198;252;392;499;700;990;1539;2129;2538;2720;3241;12901;14;28928
"330460 Santa Maria Madalena";2;-;-;-;-;-;-;-;-;-;1;-;-;1;2;2;-;2;3;3;18;-;34
"330470 Santo Antônio de Pádua";2;-;1;-;-;-;-;-;-;3;1;3;2;8;4;7;18;10;19;20;70;-;168
"330480 São Fidélis";-;2;2;-;-;-;1;-;1;1;2;3;4;5;10;6;9;15;12;13;72;-;158
"330475 São Francisco de Itabapoana";-;-;-;-;-;-;-;1;1;-;3;3;4;7;2;7;14;14;17;15;45;-;133
"330490 São Gonçalo";33;9;15;-;12;8;7;14;21;21;31;52;80;103;157;240;340;393;423;422;1311;2;3694
"330500 São João da Barra";1;-;-;-;1;-;1;-;2;1;-;-;2;4;7;9;9;8;20;14;45;-;124
"330510 São João de Meriti";11;13;15;-;5;2;4;11;13;17;16;27;47;65;74;129;200;179;202;220;530;-;1780
"330513 São José de Ubá";-;-;3;-;-;-;-;-;-;-;1;-;-;-;2;2;5;5;1;4;8;-;31
"330515 São José do Vale do Rio Preto";-;1;-;-;-;-;-;1;1;2;2;-;3;-;4;5;8;9;6;10;30;-;82
"330520 São Pedro da Aldeia";5;2;3;-;3;1;1;3;1;2;3;8;13;8;18;22;20;26;32;39;123;1;334
"330530 São Sebastião do Alto";-;-;-;-;-;-;1;-;-;-;1;1;-;1;2;4;-;5;5;5;12;-;37
"330540 Sapucaia";-;-;-;-;-;-;-;-;1;1;-;2;2;2;5;5;9;5;6;6;28;-;72
"330550 Saquarema";3;1;4;-;2;-;-;-;4;1;3;6;5;7;12;12;31;36;30;26;115;-;298
"330555 Seropédica";3;-;3;-;2;1;1;2;3;2;5;1;4;9;16;14;20;38;22;27;72;-;245
"330560 Silva Jardim";1;-;-;-;1;-;-;-;-;-;1;2;3;3;6;7;9;3;6;6;22;1;71
"330570 Sumidouro";1;-;1;-;-;-;-;-;1;-;-;1;1;-;2;2;2;2;4;3;22;-;42
"330575 Tanguá";3;1;1;-;2;-;-;1;1;-;3;3;1;7;5;11;10;14;12;16;38;-;129
"330580 Teresópolis";8;2;2;-;2;-;1;3;7;3;6;12;11;15;28;42;60;74;65;76;247;-;664
"330590 Trajano de Moraes";1;-;-;-;-;-;-;1;-;-;1;-;-;2;2;1;1;2;2;4;9;-;26
"330600 Três Rios";3;1;1;-;2;-;2;-;1;2;-;5;10;12;19;17;42;30;30;24;114;-;315
"330610 Valença";4;1;1;-;1;-;1;1;1;2;2;3;4;10;12;19;18;30;28;34;129;-;301
"330615 Varre-Sai";1;1;-;-;1;-;-;-;1;-;3;-;1;1;-;2;3;3;3;6;12;-;38
"330620 Vassouras";-;-;1;-;1;-;-;1;-;1;3;1;2;2;8;10;6;13;16;17;62;1;145
"330630 Volta Redonda";6;4;6;-;3;3;1;5;5;7;4;11;25;35;49;87;92;102;98;118;407;-;1068
"330000 Município ignorado - RJ";1;-;-;-;-;-;-;1;3;3;2;3;6;4;4;2;3;2;4;3;9;73;123
 
