
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";9;5;6;-;3;2;3;39;59;32;31;32;34;28;42;50;62;68;59;66;106;-;736
"330015 Aperibé";-;-;-;-;-;-;-;1;-;-;-;2;3;2;3;3;6;6;6;8;25;-;65
"330020 Araruama";5;1;2;-;1;1;4;18;22;15;21;16;16;23;27;47;63;66;68;70;143;3;632
"330022 Areal";1;1;2;-;-;-;-;-;1;1;6;2;1;3;4;8;4;9;7;2;5;-;57
"330023 Armação dos Búzios";5;-;-;-;2;-;3;6;7;6;8;3;7;4;10;16;20;15;10;11;22;-;155
"330025 Arraial do Cabo";2;-;2;-;1;-;-;2;4;4;5;7;5;5;8;14;16;17;14;19;33;1;159
"330030 Barra do Piraí";-;1;4;-;-;-;-;9;10;5;12;10;10;13;38;37;49;54;51;44;97;1;445
"330040 Barra Mansa";4;-;1;-;3;1;-;11;12;18;8;21;23;25;45;77;87;83;82;76;189;3;769
"330045 Belford Roxo";29;12;25;1;5;4;5;83;120;93;56;51;68;97;111;192;223;199;192;178;283;2;2029
"330050 Bom Jardim";2;-;-;-;-;-;-;2;5;2;1;2;6;7;8;7;14;14;8;17;34;-;129
"330060 Bom Jesus do Itabapoana";2;1;-;-;-;1;-;3;1;3;1;2;11;9;9;13;20;19;20;11;45;-;171
"330070 Cabo Frio";9;5;6;-;4;2;1;28;31;31;21;16;25;29;42;88;90;100;87;73;150;-;838
"330080 Cachoeiras de Macacu";1;-;-;-;-;-;3;3;8;3;7;10;7;11;20;18;24;21;28;29;61;2;256
"330090 Cambuci";-;-;-;-;-;-;1;-;1;1;2;3;3;2;2;12;4;4;8;12;21;-;76
"330100 Campos dos Goytacazes";27;5;10;-;7;7;6;49;78;60;70;72;81;102;151;177;196;232;214;237;496;-;2277
"330110 Cantagalo";-;1;-;-;1;-;-;-;3;3;3;2;4;5;7;6;9;12;5;15;26;-;102
"330093 Carapebus";-;1;-;-;-;1;-;-;1;-;2;2;1;-;3;3;5;4;5;5;14;-;47
"330115 Cardoso Moreira";-;-;-;-;-;-;-;1;3;-;2;1;-;3;3;6;3;12;8;4;18;-;64
"330120 Carmo";-;-;-;-;-;1;1;1;1;1;5;1;-;7;4;7;12;3;8;5;24;-;81
