"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";4;-;4;3;5;3;6;6;7;10;11;14;20;24;35;44;39;59;51;138;-;483
"330015 Aperibé";-;-;-;-;-;-;-;-;1;-;-;1;1;-;2;1;1;3;2;15;-;27
"330020 Araruama";3;2;1;1;2;-;2;-;6;6;11;10;16;23;38;36;50;48;53;211;-;519
"330022 Areal";1;2;-;-;-;-;-;-;2;2;-;1;1;5;2;5;4;6;5;17;-;53
"330023 Armação dos Búzios";3;-;-;1;-;-;-;-;1;3;3;4;5;5;10;14;8;11;16;32;-;116
"330025 Arraial do Cabo";-;1;-;-;1;-;1;-;-;1;2;2;1;7;6;12;7;9;11;41;-;102
"330030 Barra do Piraí";4;3;-;-;-;1;-;1;2;4;6;7;9;17;26;44;30;41;36;150;-;381
"330040 Barra Mansa";9;2;3;3;1;1;4;6;6;4;13;14;17;28;45;64;75;75;80;234;-;684
"330045 Belford Roxo";14;6;14;6;6;1;9;13;19;29;43;48;78;105;135;156;179;182;172;477;-;1692
"330050 Bom Jardim";2;-;1;-;-;-;-;-;-;1;1;1;1;4;10;6;7;8;11;43;-;96
"330060 Bom Jesus do Itabapoana";-;1;1;1;-;1;-;1;-;2;2;5;6;8;9;17;13;17;26;72;-;182
"330070 Cabo Frio";11;3;6;2;3;2;-;2;4;8;19;24;17;31;36;60;58;79;85;209;-;659
"330080 Cachoeiras de Macacu";3;-;1;-;1;-;1;-;1;2;3;3;7;10;16;19;16;26;24;76;-;209
"330090 Cambuci";1;-;-;1;-;-;-;2;1;-;2;-;1;1;4;5;3;5;8;31;-;65
"330100 Campos dos Goytacazes";18;7;15;6;4;5;7;9;17;21;40;43;69;78;128;164;208;227;221;699;-;1986
"330110 Cantagalo";2;-;-;-;1;-;-;-;-;1;3;1;1;2;4;10;6;9;2;41;-;83
"330093 Carapebus";-;-;-;-;1;-;-;-;-;-;1;1;2;1;3;5;4;5;-;14;-;37
"330115 Cardoso Moreira";1;-;-;-;1;-;-;-;-;-;-;-;3;1;3;5;5;6;1;13;-;39
"330120 Carmo";2;-;-;-;-;-;-;-;1;-;2;2;1;4;6;2;1;4;6;36;-;67
"330130 Casimiro de Abreu";-;2;1;-;-;-;-;1;-;1;3;2;3;6;8;8;6;11;19;46;-;117
"330095 Comendador Levy Gasparian";-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;4;3;3;3;11;-;27
"330140 Conceição de Macabu";-;-;-;-;-;-;-;-;1;2;2;1;5;4;4;6;2;8;3;18;-;56
"330150 Cordeiro";1;-;-;-;-;-;-;-;-;1;1;2;1;-;2;7;6;10;7;30;-;68
"330160 Duas Barras";-;-;-;-;-;1;-;-;-;-;1;1;4;3;-;-;3;2;4;16;-;35
"330170 Duque de Caxias";42;14;31;12;3;7;29;27;27;38;64;85;132;187;244;330;361;356;371;998;-;3358
"330180 Engenheiro Paulo de Frontin";-;-;1;-;-;-;-;-;-;-;2;2;-;2;2;5;6;8;2;18;-;48
"330185 Guapimirim";1;-;-;1;-;-;1;-;1;2;4;5;4;7;20;14;20;24;13;63;-;180
"330187 Iguaba Grande";2;2;1;-;-;-;1;-;-;-;1;1;3;1;10;11;16;12;19;43;-;123
"330190 Itaboraí";7;4;5;3;3;2;8;5;3;11;16;23;32;32;63;69;91;89;87;249;3;805
"330200 Itaguaí";3;3;3;3;1;1;4;1;7;7;13;16;22;26;27;29;49;53;44;118;-;430
"330205 Italva";1;-;-;-;-;-;-;-;-;-;-;2;2;3;4;4;5;4;9;18;-;52
"330210 Itaocara";1;-;1;-;-;-;-;-;-;-;1;-;1;7;4;6;4;7;15;54;-;101
"330220 Itaperuna";2;-;2;1;1;-;2;2;1;4;3;10;13;20;22;29;40;48;49;178;-;427
"330225 Itatiaia";2;1;-;-;-;-;1;-;1;-;4;-;4;4;8;8;7;9;8;37;-;94
"330227 Japeri";4;-;1;1;1;-;1;5;4;3;8;13;10;19;23;27;36;33;34;79;-;302
"330230 Laje do Muriaé";-;-;-;-;-;-;-;-;-;-;1;1;-;2;2;2;6;2;3;19;-;38
"330240 Macaé";8;4;9;3;3;3;2;9;3;12;17;19;31;33;31;59;52;54;63;187;-;602
"330245 Macuco";-;1;-;-;-;-;-;-;-;2;-;-;-;2;1;-;4;4;4;14;-;32
"330250 Magé";10;8;17;3;-;-;3;10;9;12;10;25;41;60;71;104;105;109;129;286;1;1013
"330260 Mangaratiba";4;-;2;2;-;-;1;1;1;1;1;5;8;4;9;18;9;21;15;40;-;142
"330270 Maricá";5;1;5;-;2;1;3;9;5;9;7;16;18;31;42;44;66;65;64;211;-;604
"330280 Mendes";-;-;-;-;-;-;1;-;-;-;1;1;2;5;7;3;8;10;13;48;-;99
