
"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"110001 Alta Floresta D'Oeste";924;981;1085;1150;1170;993;967;892;824;843;764;574;425;297;236;169;130;12424
"110037 Alto Alegre dos Parecis";576;584;653;680;669;500;491;497;491;454;377;268;214;162;117;62;52;6847
"110040 Alto Paraíso";833;848;974;966;834;745;754;768;751;675;569;420;292;225;167;109;80;10010
"110034 Alvorada D'Oeste";616;650;729;772;724;602;618;580;548;583;471;401;313;208;152;113;100;8180
"110002 Ariquemes";3968;4123;4744;4927;4663;4576;4268;3785;3402;3165;2493;1929;1388;972;655;459;401;49918
"110045 Buritis";1654;1666;1821;1759;1616;1531;1537;1436;1222;1068;826;673;495;431;290;170;131;18326
"110003 Cabixi";234;235;236;250;247;203;226;223;228;231;202;178;132;89;67;43;33;3057
"110060 Cacaulândia";262;260;275;269;247;218;235;216;219;204;160;133;124;92;72;53;33;3072
"110004 Cacoal";3018;3212;3534;3753;3827;3682;3407;3095;2851;2686;2269;1767;1302;940;631;456;468;40898
"110070 Campo Novo de Rondônia";635;626;708;672;621;542;594;500;510;494;367;312;220;154;92;59;42;7148
"110080 Candeias do Jamari";1152;1096;1184;1125;1023;992;981;891;749;687;580;497;356;262;152;96;90;11913
"110090 Castanheiras";114;114;137;150;140;124;131;130;136;124;108;79;69;65;46;29;15;1711
"110005 Cerejeiras";608;658;715;760;780;701;645;606;569;584;515;389;292;222;175;123;106;8448
"110092 Chupinguaia";462;458;488;510;485;415;440;416;335;302;249;182;123;88;55;36;26;5070
"110006 Colorado do Oeste";638;680;688;717;761;716;709;673;596;592;534;435;333;277;190;135;136;8810
"110007 Corumbiara";301;330;378;416;409;358;351;326;333;332;264;199;144;99;83;54;51;4428
"110008 Costa Marques";846;816;876;882;779;662;720;619;506;455;384;261;214;151;99;66;53;8389
"110094 Cujubim";1029;1039;1115;1053;942;826;947;816;706;662;469;370;291;171;103;63;33;10635
"110009 Espigão D'Oeste";1264;1300;1351;1420;1359;1323;1286;1216;1118;997;857;663;483;354;238;152;152;15533
"110100 Governador Jorge Teixeira";365;368;446;468;413;390;372;346;333;338;288;204;172;133;98;60;53;4847
"110010 Guajará-Mirim";2166;2249;2371;2242;2026;1878;1708;1556;1406;1235;1014;733;578;425;285;202;233;22307
"110110 Itapuã do Oeste";486;510;471;499;461;364;358;348;320;275;253;231;172;117;92;44;37;5038
"110011 Jaru";2033;2078;2388;2430;2372;2375;2327;2032;1722;1567;1316;1032;777;564;427;320;324;26084
"110012 Ji-Paraná";4784;5141;5465;5515;5663;5625;5336;4633;4090;3876;3307;2530;1900;1268;844;584;575;61136
"110013 Machadinho D'Oeste";1670;1741;1874;1737;1645;1467;1492;1425;1204;1103;929;780;606;411;282;186;110;18662
"110120 Ministro Andreazza";432;454;498;481;453;394;352;367;379;362;269;194;176;125;98;70;60;5164
"110130 Mirante da Serra";448;471;558;535;528;447;459;443;391;337;301;239;217;158;118;108;105;5863
"110140 Monte Negro";652;692;784;787;655;556;591;582;521;493;389;329;266;208;152;110;81;7848
"110014 Nova Brasilândia D'Oeste";741;758;930;1059;1007;831;843;834;749;667;580;453;351;272;190;133;112;10510
"110033 Nova Mamoré";1306;1315;1425;1307;1117;1059;1097;1073;909;811;693;503;344;288;165;123;113;13648
"110143 Nova União";291;325;391;416;373;282;272;280;277;246;208;167;134;86;66;41;36;3891
"110050 Novo Horizonte do Oeste";361;382;423;419;437;354;327;383;368;346;333;261;180;150;109;77;65;4975
"110015 Ouro Preto do Oeste";1388;1431;1618;1700;1663;1647;1550;1349;1191;1159;1080;774;585;460;312;221;228;18356
"110145 Parecis";246;266;265;279;273;236;240;201;194;191;166;114;98;63;46;31;16;2925
"110018 Pimenta Bueno";1358;1491;1648;1706;1696;1738;1512;1319;1150;1072;932;746;536;361;259;154;164;17842
"110146 Pimenteiras do Oeste";114;108;109;121;94;83;85;81;87;78;62;57;38;32;23;10;9;1191
"110020 Porto Velho";19285;20115;21968;23492;23780;25858;23778;19790;16084;14593;12196;9245;6118;3838;2312;1343;1330;245125
"110025 Presidente Médici";738;814;895;929;932;828;836;752;711;720;649;539;409;314;230;157;175;10628
