"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"110001 Alta Floresta D'Oeste";912;939;1028;1091;1181;968;962;893;804;831;792;596;446;297;238;172;138;12288
"110037 Alto Alegre dos Parecis";579;561;628;651;690;491;481;493;497;462;398;272;221;163;126;62;55;6830
"110040 Alto Paraíso";864;827;955;988;859;750;759;784;782;695;596;448;304;231;173;114;85;10214
"110034 Alvorada D'Oeste";602;612;675;729;728;570;606;578;526;591;470;408;327;211;149;116;100;7998
"110002 Ariquemes";4040;4038;4709;5014;4709;4643;4363;3871;3444;3272;2581;2030;1462;1021;672;475;419;50763
"110045 Buritis";1695;1640;1815;1779;1640;1526;1545;1481;1252;1107;842;705;511;460;315;179;143;18635
"110003 Cabixi";232;227;213;231;251;190;222;218;224;233;200;182;136;87;67;42;34;2989
"110060 Cacaulândia";265;253;266;264;253;210;238;212;220;213;164;134;132;95;73;57;35;3084
"110004 Cacoal";3026;3163;3440;3668;3824;3707;3440;3130;2870;2718;2336;1851;1366;993;642;471;477;41122
"110070 Campo Novo de Rondônia";650;596;698;662;638;521;618;501;513;520;368;326;228;163;95;61;45;7203
"110080 Candeias do Jamari";1202;1087;1192;1155;1048;1010;1014;941;778;714;595;526;370;282;159;99;93;12265
"110090 Castanheiras";114;104;121;145;141;117;127;126;137;123;113;82;65;65;46;30;16;1672
"110005 Cerejeiras";601;636;675;725;770;700;641;610;553;578;534;405;301;223;176;126;109;8363
"110092 Chupinguaia";480;460;491;523;513;413;446;439;347;312;258;190;128;93;56;38;27;5214
"110006 Colorado do Oeste";618;658;641;663;748;693;691;676;582;582;540;450;330;284;191;133;138;8618
"110007 Corumbiara";294;307;345;384;409;348;348;318;327;334;267;200;151;96;85;53;53;4319
"110008 Costa Marques";882;816;878;908;823;659;751;653;528;471;410;268;224;158;101;69;55;8654
"110094 Cujubim";1085;1059;1155;1099;1005;832;1005;867;736;716;497;385;314;182;107;68;36;11148
"110009 Espigão D'Oeste";1275;1298;1316;1419;1358;1321;1294;1231;1150;1011;884;696;504;369;250;152;158;15686
"110100 Governador Jorge Teixeira";358;326;402;445;389;372;361;337;320;328;297;201;172;132;99;62;52;4653
"110010 Guajará-Mirim";2179;2216;2350;2251;2038;1893;1720;1575;1439;1257;1070;761;600;445;290;205;234;22523
"110110 Itapuã do Oeste";491;521;453;502;488;368;361;357;334;277;257;240;183;116;100;46;38;5132
"110011 Jaru";2046;1981;2312;2380;2320;2319;2334;2067;1726;1570;1342;1068;814;578;431;325;333;25946
"110012 Ji-Paraná";4783;5094;5423;5435;5639;5619;5422;4726;4126;3915;3425;2632;2008;1332;861;595;593;61628
"110013 Machadinho D'Oeste";1714;1743;1891;1743;1702;1474;1516;1500;1246;1139;954;811;644;431;289;203;116;19116
"110120 Ministro Andreazza";429;435;466;458;448;398;342;354;371;373;280;192;184;127;98;72;62;5089
"110130 Mirante da Serra";445;432;537;508;535;429;448;443;397;331;309;240;229;166;115;108;112;5784
"110140 Monte Negro";660;664;757;791;676;545;590;596;526;512;399;341;278;218;156;116;87;7912
"110014 Nova Brasilândia D'Oeste";753;719;870;1032;1024;812;831;848;765;675;600;472;359;281;193;135;117;10486
"110033 Nova Mamoré";1360;1304;1443;1355;1150;1065;1112;1136;949;835;735;538;354;316;171;128;120;14071
"110143 Nova União";287;307;364;401;383;275;263;274;282;248;213;170;141;85;66;44;34;3837
"110050 Novo Horizonte do Oeste";353;357;393;378;436;352;302;375;367;336;340;275;180;153;109;80;66;4852
"110015 Ouro Preto do Oeste";1382;1366;1541;1650;1612;1611;1551;1358;1177;1128;1123;801;597;480;318;220;235;18150
"110145 Parecis";251;272;258;277;284;238;253;204;198;198;178;116;104;65;46;35;16;2993
"110018 Pimenta Bueno";1359;1471;1621;1688;1666;1769;1530;1350;1165;1073;948;778;565;366;272;156;165;17942
"110146 Pimenteiras do Oeste";114;103;102;114;95;82;85;78;88;80;61;61;37;31;24;12;8;1175
"110020 Porto Velho";19586;20208;21988;23925;23622;26419;24618;20756;16538;14912;12662;9833;6534;4074;2451;1379;1357;250862
"110025 Presidente Médici";717;770;834;863;922;791;831;748;694;711;649;549;418;318;236;152;178;10381
"110147 Primavera de Rondônia";114;113;142;154;141;114;126;125;91;114;124;74;79;51;34;28;26;1650
"110026 Rio Crespo";152;165;162;152;131;118;151;141;148;132;123;102;74;50;34;28;24;1887
"110028 Rolim de Moura";1998;2050;2340;2338;2505;2451;2194;2053;1865;1671;1435;1138;811;581;396;291;295;26412
"110029 Santa Luzia D'Oeste";273;295;295;334;334;325;303;291;273;281;267;189;146;99;89;56;57;3907
"110148 São Felipe D'Oeste";195;192;209;227;220;184;210;241;191;218;191;155;141;96;78;46;41;2835
"110149 São Francisco do Guaporé";877;837;940;948;866;786;743;669;688;555;478;370;274;222;133;87;68;9541
"110032 São Miguel do Guaporé";972;942;1090;1119;1073;944;938;906;797;741;641;503;341;259;193;120;93;11672
"110150 Seringueiras";480;445;608;609;563;482;453;461;425;407;347;252;225;132;88;75;58;6110
"110155 Teixeirópolis";163;161;191;214;205;192;198;141;153;172;169;117;67;92;50;36;53;2374
"110160 Theobroma";434;439;466;509;470;378;429;431;409;335;365;268;215;166;112;69;61;5556
"110170 Urupá";463;469;544;556;544;492;497;502;410;391;363;285;281;197;123;95;74;6286
"110175 Vale do Anari";458;465;474;497;443;384;418;412;351;371;318;274;210;149;113;70;58;5465
"110180 Vale do Paraíso";277;291;296;357;342;259;293;270;266;292;250;198;144;112;67;55;46;3815
"110030 Vilhena";3660;3699;4018;4084;4004;4231;4047;3532;3028;2795;2355;1804;1253;837;599;375;323;44644
"120001 Acrelândia";743;745;748;800;670;541;536;514;477;382;347;266;221;175;113;70;74;7422
"120005 Assis Brasil";439;433;372;320;312;270;268;231;191;165;126;116;71;66;42;29;32;3483
"120010 Brasiléia";1189;1312;1358;1227;1180;1051;917;933;769;711;512;424;314;248;171;142;153;12611
"120013 Bujari";505;532;563;556;436;365;355;403;295;258;204;205;160;111;94;39;42;5123
"120017 Capixaba";578;602;619;626;491;352;360;334;299;319;251;211;148;122;81;48;39;5480
"120020 Cruzeiro do Sul";4747;4890;5185;4712;3966;3574;3470;2961;2255;1701;1337;1050;841;677;519;307;383;42575
"120025 Epitaciolândia";843;883;959;854;805;698;631;586;567;458;375;280;243;168;149;90;105;8694
"120030 Feijó";2319;2394;2272;2071;1601;1450;1146;1027;851;714;571;424;279;272;187;111;139;17828
"120032 Jordão";689;616;560;484;356;324;248;212;166;113;72;49;37;14;13;9;15;3977
"120033 Mâncio Lima";1119;1128;1064;993;807;734;698;585;448;341;269;229;183;154;120;83;66;9021
"120034 Manoel Urbano";586;586;608;560;432;363;351;313;235;197;139;120;92;73;42;37;35;4769
"120035 Marechal Thaumaturgo";1383;1351;1268;1133;895;647;615;439;363;260;191;147;93;87;40;35;36;8983
"120038 Plácido de Castro";1002;1073;1126;917;879;703;690;618;560;529;476;392;305;248;154;118;121;9911
"120080 Porto Acre";889;938;1013;967;822;579;567;594;504;465;397;324;277;227;154;113;116;8946
